,title,link,date_published,text,like_count,reply_parent_id,source,cleaned_text
46,The UK guy needs to question people labeling people as terfs. It means that I disagree with you on the issue,https://www.youtube.com/watch?v=BB__743Jfm0&lc=UgyJ4Q8_oig90koDD0h4AaABAg,2025-09-08 03:07:11,The UK guy needs to question people labeling people as terfs. It means that I disagree with you on the issue,0,,youtube,uk question labeling terfs disagree issue
47,"The most enlightening parts of this conversation came from the interviewer, someone who is allegedly in favor of free speech. No wonder the UK has reached the point where they&#39;re arresting comedians.",https://www.youtube.com/watch?v=BB__743Jfm0&lc=UgyvRZaMXqNoppExplN4AaABAg,2025-09-08 02:49:46,"The most enlightening parts of this conversation came from the interviewer, someone who is allegedly in favor of free speech. No wonder the UK has reached the point where they're arresting comedians.",0,,youtube,enlightening part conversation came interviewer someone allegedly favor free speech wonder uk reached point arresting comedian
48,&quot;Future सच में तेजी से बदल रहा है 🔥 Elon Musk और AI जैसे topics inspire करते हैं…<br>मैंने भी ऐसे ही छोटे-छोटे facts वाले shorts बनाए हैं जो आपको पसंद आएंगे 🚀&quot;,https://www.youtube.com/watch?v=PKlkLX8oGoY&lc=UgzvJal0U6zZax2YyX54AaABAg,2025-09-07 18:16:07,"""Future सच में तेजी से बदल रहा है 🔥 Elon Musk और AI जैसे topics inspire करते हैं…
मैंने भी ऐसे ही छोटे-छोटे facts वाले shorts बनाए हैं जो आपको पसंद आएंगे 🚀""",0,,youtube,future elon musk ai topic inspire fact short
49,"Hello Top Fan …Thank you for your wonderful support and words…it’s me Elon Musk ….You can connect now, I love how your enthusiasm jumps out from your comment, keep shining!",https://www.youtube.com/watch?v=HEL0UG-C094&lc=UgzEK_ykHoUYF4JICod4AaABAg.AMTEri_hkhEAMkSjUAzaK5,2025-09-07 08:13:10,"Hello Top Fan …Thank you for your wonderful support and words…it’s me Elon Musk ….You can connect now, I love how your enthusiasm jumps out from your comment, keep shining!",0,UgzEK_ykHoUYF4JICod4AaABAg,youtube,hello top fan wonderful support word elon musk connect enthusiasm jump comment keep shining
50,"Trump was going to eliminate taxes on tips, whats up with this?",https://www.youtube.com/watch?v=PKlkLX8oGoY&lc=Ugznd096Vx6aPqYU7-p4AaABAg,2025-09-07 01:31:54,"Trump was going to eliminate taxes on tips, whats up with this?",0,,youtube,trump wa going eliminate tax tip whats
51,Does anyone on here believe in God?,https://www.youtube.com/watch?v=Ra3fv8gl6NE&lc=Ugwk8JRES2fIDDsTRzd4AaABAg,2025-09-06 19:16:28,Does anyone on here believe in God?,0,,youtube,doe god
52,"Matt told Elon to publish about the Xfiles on X,<br>but then he he did not publish it on X.",https://www.youtube.com/watch?v=BB__743Jfm0&lc=UgwkqTUG5AU7cA6lFZV4AaABAg.AMeDIc6EetNAMimfntqAPA,2025-09-06 16:37:41,"Matt told Elon to publish about the Xfiles on X,
but then he he did not publish it on X.",2,UgwkqTUG5AU7cA6lFZV4AaABAg,youtube,matt told elon publish xfiles x publish x
53,fail son inc.,https://www.youtube.com/watch?v=pLjG7a-NX7U&lc=UgxTlTdfkWD4yF9hiJN4AaABAg,2025-09-06 13:23:07,fail son inc.,0,,youtube,fail son inc
54,Can you feed delicious food for my villager😁🙏❤,https://www.youtube.com/watch?v=pLjG7a-NX7U&lc=Ugw-5q_OGgph7EIcDEp4AaABAg,2025-09-06 12:27:24,Can you feed delicious food for my villager😁🙏❤,0,,youtube,feed delicious food villager
55,I am dream pa pa so can you feed my villager,https://www.youtube.com/watch?v=pLjG7a-NX7U&lc=Ugxrz_nv_zNfG-63uHx4AaABAg,2025-09-06 12:26:20,I am dream pa pa so can you feed my villager,0,,youtube,dream pa pa feed villager
